"fxnname"	"condition"	"result"	"comment"
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC02568 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site SMC02712 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC02712 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site SMC02712 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC03304 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC03304 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC03304 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC04134 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC04134 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC04134 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC04432 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site SMC04432 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC04432 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site SMC04432 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC04682 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC04682 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC04880 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC05423 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Wet"	0	"Value removed as an outlier for site SMC05423 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC05423 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC05423 Transformation applied prior to identification as necessary."
"All data outliers"	"QmaxIDR_All"	0	"Value removed as an outlier for site SMC05423 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC06298 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC06298 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC06298 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC06926 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC06926 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC06926 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC08335 Transformation applied prior to identification as necessary."
"All data outliers"	"Q99_Average"	0	"Value removed as an outlier for site SMC08335 Transformation applied prior to identification as necessary."
"All data outliers"	"Qmax_Dry"	0	"Value removed as an outlier for site SMC08335 Transformation applied prior to identification as necessary."
"All data outliers"	"MaxMonthQ_Dry"	0	"Value removed as an outlier for site SMC15464 Transformation applied prior to identification as necessary."
