StationID_Master	CanonicalStationID	WaterbodyName	WaterbodyType	FinalLatitude	FinalLongitude	Coastal	CARefSite_2017	GIS_County	GIS_State	GIS_EcoL3Code	GIS_EcoL3Name	COMID_NHD2	COMID_NHD2_Notes	StationComment
SGUT504	SGUT504			34.23	-118.82	0	0	Ventura	California	85	Southern California/Northern Baja Coast	17564930		
SGWC1	SGWC1			34.06	-117.99	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22524847		
SGWC2	SGWC2			34.08	-117.83	0	0	Los Angeles	California	85	Southern California/Northern Baja Coast	22523195		
Site 1	Site 1	Sweetwater River	Rivers/Streams	32.74	-117.01	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331946		
Site 10	Site 10	Pueblo San Diego		32.72	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 12	Site 12	Sweetwater River	Rivers/Streams	32.74	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331946		
Site 15	Site 15	Pueblo San Diego		32.73	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 16	Site 16	Pueblo San Diego		32.73	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 17	Site 17	Pueblo San Diego		32.73	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 19	Site 19	Pueblo San Diego		32.73	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331946		
Site 2	Site 2	Pueblo San Diego		32.73	-117.06	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 20	Site 20	Pueblo San Diego		32.71	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 21	Site 21	Sweetwater River	Rivers/Streams	32.74	-117.02	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331946		
Site 3	Site 3	Pueblo San Diego		32.73	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 31	Site 31	Pueblo San Diego		32.74	-117.05	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 5	Site 5	Pueblo San Diego		32.74	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 6	Site 6	Pueblo San Diego		32.74	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331550		
Site 7	Site 7	Pueblo San Diego		32.72	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 8	Site 8	Pueblo San Diego		32.72	-117.04	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
Site 9	Site 9	Pueblo San Diego		32.73	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20331548		
SJBL1	SJBL1			33.63	-117.55	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348295		
SJC	901SJMS1x	San Juan Creek Lower (Field verified reference)	Rivers/Streams	33.61	-117.42	0	0	Riverside	California	85	Southern California/Northern Baja Coast	20348331		
SJMO1	SJMO1			33.64	-117.43	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348277		
SJOF1	SJOF1			33.61	-117.42	0	0	Riverside	California	85	Southern California/Northern Baja Coast	20348331		
SJOS1	SJOS1			33.53	-117.67	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348813		
SJSJ2	SJSJ2			33.51	-117.62	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350533		
SJSJ5	SJSJ5			33.58	-117.52	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348471		
SJTC1	SJTC1			33.49	-117.66	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350681		
SJTC2	SJTC2			33.67	-117.53	0	0	Orange	California	85	Southern California/Northern Baja Coast	20348205		
SJTC3	SJTC3			33.53	-117.66	0	0	Orange	California	85	Southern California/Northern Baja Coast	20350529		
SLGD1	SLGD1			33.33	-117.18	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341577		
SLR01	SLR01	San Luis Rey River	Rivers/Streams	33.28	-117.21	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341683		
SLR02	SLR02	San Luis Rey River	Rivers/Streams	33.26	-117.23	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341721		
SLR04	SLR04	San Luis Rey River	Rivers/Streams	33.24	-117.24	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342531		
SLR06	SLR06	San Luis Rey River	Rivers/Streams	33.33	-117.18	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341577		
SLR08	SLR08	San Luis Rey River	Rivers/Streams	33.21	-117.03	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341809		
SLR10	SLR10	San Luis Rey River	Rivers/Streams	33.2	-117.12	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341819		
SLR11	SLR11	San Luis Rey River	Rivers/Streams	33.24	-117.14	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20342523		
SLR12	SLR12	San Luis Rey River	Rivers/Streams	33.33	-117.23	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341557		
SLR14	SLR14	San Luis Rey River	Rivers/Streams	33.29	-117.22	0	0	San Diego	California	85	Southern California/Northern Baja Coast	20341647		
