StationID_Master	ChemSampleID	SampDate	SampYear	StdParamName	ResultValue	COMID	clust
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Sodium_f_mg_L	25.58	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	PCT_SAFN_score	0.84	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	Potassium_f_mg_L	2.05	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	IPI	1.06	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	P_uf_mg_L	0.004	17585714	2
402WE0536	402WE0536_2000-06-14	6/14/2000	2000	DIC_f_mg_L	40.51	17585714	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	Sodium_f_mg_L	30.45	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	XCMG_score	0.71	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	Sulfate_f_mg_L	71.19	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	IPI	0.98	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	H_SubNat_score	0.73	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	ColorTrue_CU	5	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	Chloride_f_mg_L	17.5	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	H_AqHab_score	0.71	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	DOC_f_mg_L	0.96	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	TSS_particulate_mg_L	0.1	17586740	2
402WE0803	402WE0803_2001-06-12	6/12/2001	2001	TN_uf_mg_L	0.089	17586740	2
