"ANALYSIS_TYPE"	"CHEMICAL_NAME"	"FinalUnit"	"StdParamName"	"GroupNum"	"GroupName"	"LogTransf"	"SSD"	"SSTV"	"SensMin"	"SensMax"	"TolMin"	"TolMax"	"UseInStressorID"	"DirIncStress"	"SSTVname"	"Label"	"MinWQO_CAR9"	"MCL_Primary"	"MCL_Secondary"	"Analyte"
"Total"	"Cinerin-2"	"ng/g dw"	"Cinerin2_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cinerin-2 (ng/g dry weight)"	NA	NA	NA	"Cinerin2_tot_ng_g_dw"
"Dissolved"	"Cobalt"	"ug/L"	"Cobalt_f_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved cobalt (µg/L)"	NA	NA	NA	"Cobalt_f_ug_L"
"Total"	"Cobalt"	"ug/L"	"Cobalt_uf_ug_L"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cobalt (µg/L)"	NA	NA	NA	"Cobalt_uf_ug_L"
"None"	"Color, True"	"CU"	"ColorTrue_CU"	17	"Water quality"	0	0	0	NA	NA	NA	NA	0	""	""	"True color (color units)"	20	NA	15	"ColorTrue_CU"
"Dissolved"	"Color, True"	"CU"	"ColorTrue_f_CU"	17	"Water quality"	0	0	0	NA	NA	NA	NA	0	""	""	"Dissolved true color (color units)"	20	NA	15	"ColorTrue_f_CU"
"Dissolved"	"Copper"	"ug/L"	"Copper_f_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved copper (µg/L)"	NA	NA	1000	"Copper_f_ug_L"
"Total"	"Copper"	"mg/kg dw"	"Copper_tot_mg_kg_dw"	6	"Metals_metalloids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total copper (mg/kg dry weight)"	NA	NA	NA	"Copper_tot_mg_kg_dw"
"Total"	"Copper"	"ug/L"	"Copper_uf_ug_L"	6	"Metals_metalloids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total copper (µg/L)"	NA	NA	1000	"Copper_uf_ug_L"
"Total"	"Cyfluthrin, Total"	"ng/g dw"	"Cyfluthrin_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cyfluthrin, total (ng/g dry weight)"	NA	NA	NA	"Cyfluthrin_tot_ng_g_dw"
"Total"	"Cyfluthrin, Total"	"ug/L"	"Cyfluthrin_Total_ug_L"	13	"Pyrethroids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total cyfluthrin, total (µg/L)"	NA	NA	NA	"Cyfluthrin_Total_ug_L"
"Total"	"Cyhalothrin, Total lambda-"	"ng/g dw"	"Cyhalothrin_lambda_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total lambda-cyhalothrin (ng/g dry weight)"	NA	NA	NA	"Cyhalothrin_lambda_tot_ng_g_dw"
"Total"	"Cyhalothrin, Total lambda-"	"ug/L"	"Cyhalothrin_Total_lambda_ug_L"	13	"Pyrethroids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total lambda-cyhalothrin (µg/L)"	NA	NA	NA	"Cyhalothrin_Total_lambda_ug_L"
"Total"	"Cypermethrin, Total"	"ng/g dw"	"Cypermethrin_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total cypermethrin (ng/g dry weight)"	NA	NA	NA	"Cypermethrin_tot_ng_g_dw"
"Total"	"Cypermethrin, Total"	"ug/L"	"Cypermethrin_Total_ug_L"	13	"Pyrethroids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total cypermethrin (µg/L)"	NA	NA	NA	"Cypermethrin_Total_ug_L"
"Total"	"Deltamethrin/Tralomethrin"	"ug/L"	"Deltamethrin_Tralomethrin_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total deltamethrin/tralomethrin (µg/L)"	NA	NA	NA	"Deltamethrin_Tralomethrin_ug_L"
"Total"	"Deltamethrin"	"ug/L"	"Deltamethrin_ug_L"	13	"Pyrethroids"	1	1	0	NA	NA	NA	NA	1	"Inc"	""	"Total deltamethrin (µg/L)"	NA	NA	NA	"Deltamethrin_ug_L"
"Total"	"Deltamethrin/Tralomethrin"	"ng/g dw"	"DeltamethrinTralomethrine_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total deltamethrin/tralomethrin (ng/g dry weight)"	NA	NA	NA	"DeltamethrinTralomethrine_tot_ng_g_dw"
"Dissolved"	"Dissolved Inorganic Carbon"	"mg/L"	"DIC_f_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved inorganic carbon (mg/L)"	NA	NA	NA	"DIC_f_mg_L"
"Field_None"	"Oxygen, Dissolved"	"mg/L"	"DO_fld_mg_L"	17	"Water quality"	0	0	0	NA	NA	NA	NA	1	"Dec"	""	"Field-measured dissolved oxygen (mg/L)"	NA	NA	NA	"DO_fld_mg_L"
"Field_Total"	"Oxygen, Dissolved"	"mg/L"	"DO_fld_mg_L"	17	"Water quality"	0	0	0	NA	NA	NA	NA	1	"Dec"	""	"Field-measured dissolved oxygen (mg/L)"	NA	NA	NA	"DO_fld_mg_L"
"Dissolved"	"Dissolved Organic Carbon"	"mg/L"	"DOC_f_mg_L"	7	"Nutrients"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved organic carbon (mg/L)"	NA	NA	NA	"DOC_f_mg_L"
"Total"	"Esfenvalerate/Fenvalerate-1"	"ug/L"	"Esfenvalerate_Fenvalerate_1_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total esfenvalerate/fenvalerate-1 (µg/L)"	NA	NA	NA	"Esfenvalerate_Fenvalerate_1_ug_L"
"Total"	"Esfenvalerate/Fenvalerate-2"	"ug/L"	"Esfenvalerate_Fenvalerate_2_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total esfenvalerate/fenvalerate-2 (µg/L)"	NA	NA	NA	"Esfenvalerate_Fenvalerate_2_ug_L"
"Total"	"Esfenvalerate/Fenvalerate, Total"	"ug/L"	"Esfenvalerate_Fenvalerate_Total_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total esfenvalerate/fenvalerate (µg/L)"	NA	NA	NA	"Esfenvalerate_Fenvalerate_Total_ug_L"
"Total"	"Esfenvalerate/Fenvalerate, Total"	"ng/g dw"	"EsfenvalerateFenvalerate_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total esfenvalerate/fenvalerate (ng/g dry weight)"	NA	NA	NA	"EsfenvalerateFenvalerate_tot_ng_g_dw"
"Total"	"Fenpropathrin"	"ng/g dw"	"Fenpropathrin_tot_ng_g_dw"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total fenpropathrin (ng/g dry weight)"	NA	NA	NA	"Fenpropathrin_tot_ng_g_dw"
"Total"	"Fenpropathrin"	"ug/L"	"Fenpropathrin_ug_L"	13	"Pyrethroids"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Total fenpropathrin (µg/L)"	NA	NA	NA	"Fenpropathrin_ug_L"
"Not Recorded"	"Fluoride"	"mg/L"	"Fluoride_mg_L"	5	"Ions"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Fluoride (mg/L)"	1	2	NA	"Fluoride_mg_L"
"Field_None"	"Glide/Pool Channel Alteration"	"none"	"GlidePoolChannelAlt_fld"	17	"Water quality"	0	0	0	NA	NA	NA	NA	0	""	""	"Field-measured glide/pool channel alteration"	NA	NA	NA	"GlidePoolChannelAlt_fld"
"Dissolved"	"Hardness as CaCO3"	"mg/L"	"Hardness_CaCO3_f_mg_L"	17	"Water quality"	1	0	0	NA	NA	NA	NA	1	"Inc"	""	"Dissolved hardness as calcium carbonate (mg/L)"	NA	NA	NA	"Hardness_CaCO3_f_mg_L"
