"StationID_Master"	"ChemSampleID"	"StdParamName"	"SampleDate"	"ResultValue"	"IQRmethod"	"SDmethod"	"Outlier"
"402BA0335"	"402BA0335_2008-05-27"	"Iron_f_ug_L"	2008-05-27	3.465	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Iron_uf_ug_L"	2008-05-27	11.25	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Manganese_f_ug_L"	2008-05-27	1.79	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Manganese_uf_ug_L"	2008-05-27	2.335	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"NH3_N_f_mg_L"	2008-05-27	0.01985	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Nickel_f_ug_L"	2008-05-27	5.63	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Nickel_uf_ug_L"	2008-05-27	5.925	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"NO2_N_mg_L"	2008-05-27	0.004666667	"Good"	NA	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"NO3_N_f_mg_L"	2008-05-27	0.7615	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"P_uf_mg_L"	2008-05-27	0.012866667	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"PCT_SAFN_score"	2008-05-27	1	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Selenium_f_ug_L"	2008-05-27	2.56	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Selenium_ug_L"	2008-05-27	3.13	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Silver_uf_ug_L"	2008-05-27	0.04	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Sulfate_f_mg_L"	2008-05-27	252	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"SuspendedSediment_particulate_mg_L"	2008-05-27	3.5155	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"TDS_f_mg_L"	2008-05-27	646	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"TKN_uf_mg_L"	2008-05-27	0.085	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"XCMG_score"	2008-05-27	1	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Zinc_f_ug_L"	2008-05-27	1.205	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-27"	"Zinc_uf_ug_L"	2008-05-27	1.245	"Good"	"Good"	"Good"
"402BA0335"	"402BA0335_2008-05-29"	"PO4_P_f_mg_L"	2008-05-29	0.03035	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"Alkalinity_CaCO3_fld_mg_L"	2015-08-13	341	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"DO_fld_mg_L"	2015-08-13	3.9	"Outlier low"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"Ev_FlowHab_score"	2015-08-13	0.77	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"H_AqHab_score"	2015-08-13	1	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"H_SubNat_score"	2015-08-13	0.96	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"IPI"	2015-08-13	1.07	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"PCT_SAFN_score"	2015-08-13	0.81	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"pH_fld_SU"	2015-08-13	7.62	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"Salinity_fld_ppt"	2015-08-13	0.92	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"SpecificConductivity_fld_uS_cm"	2015-08-13	1806	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"Velocity_fld_ft_s"	2015-08-13	0.5009	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"WaterTemp_fld_degC"	2015-08-13	20.5	"Good"	"Good"	"Good"
"402M00002"	"402M00002_2015-08-13"	"XCMG_score"	2015-08-13	0.68	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"Alkalinity_CaCO3_fld_mg_L"	2015-06-11	220	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"DO_fld_mg_L"	2015-06-11	8.46	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"Ev_FlowHab_score"	2015-06-11	0.78	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"H_AqHab_score"	2015-06-11	0.73	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"H_SubNat_score"	2015-06-11	0.97	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"IPI"	2015-06-11	1	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"PCT_SAFN_score"	2015-06-11	0.77	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"pH_fld_SU"	2015-06-11	7.54	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"Salinity_fld_ppt"	2015-06-11	0.61	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"SpecificConductivity_fld_uS_cm"	2015-06-11	1210	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"Velocity_fld_ft_s"	2015-06-11	0.307	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"WaterTemp_fld_degC"	2015-06-11	15.9	"Good"	"Good"	"Good"
"402M00005"	"402M00005_2015-06-11"	"XCMG_score"	2015-06-11	0.64	"Good"	"Good"	"Good"
"402M00009"	"402M00009_2015-06-29"	"Alkalinity_CaCO3_fld_mg_L"	2015-06-29	305	"Good"	"Good"	"Good"
"402M00009"	"402M00009_2015-06-29"	"DO_fld_mg_L"	2015-06-29	6.95	"Good"	"Good"	"Good"
"402M00009"	"402M00009_2015-06-29"	"Ev_FlowHab_score"	2015-06-29	0.15	"Good"	"Good"	"Good"
"402M00009"	"402M00009_2015-06-29"	"H_AqHab_score"	2015-06-29	0.78	"Good"	"Good"	"Good"
"402M00009"	"402M00009_2015-06-29"	"H_SubNat_score"	2015-06-29	1	"Good"	"Good"	"Good"
