"StationID_Master"	"ChemSampleID"	"SampDate"	"SampleType"	"matrixname"	"StdParamName"	"ResultText"	"ResultValue"	"ResultHalfMDL"	"ConvertTo"	"COMID_NHD2"	"clust"
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	2.2857803	2.2857803	2.2857803	"QmaxIDR"	20331496	1
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	-18.5	-18.5	-18.5	"HighDur"	20331496	1
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	1.952589449	1.952589449	1.952589449	"Q99"	20331496	1
"SMC06918"	"SMC06918_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.230065899	0.230065899	0.230065899	"MaxMonthQ"	20331496	1
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0	0	0	"RBI"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.09338	0.09338	0.09338	"QmaxIDR"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"HighDur"	0	0	0	"HighDur"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"NoDisturb"	0	0	0	"NoDisturb"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"Q99"	0	0	0	"Q99"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"HighNum"	0	0	0	"HighNum"	20365905	2
"SMC06926"	"SMC06926_modeledflow"	NA	"modeled flow"	"flow"	"MaxMonthQ"	0.021185044	0.021185044	0.021185044	"MaxMonthQ"	20365905	2
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"RBI"	0.647187604	0.647187604	0.647187604	"RBI"	22563104	1
"SMC07085"	"SMC07085_modeledflow"	NA	"modeled flow"	"flow"	"QmaxIDR"	0.5378	0.5378	0.5378	"QmaxIDR"	22563104	1
