ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Total	"Trimethylbenzene, 1,3,5-"	ug/L	Trimethylbenzene_135_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Xylene, m/p-"	ug/L	Xylene_m_p_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Xylene, o-"	ug/L	Xylene_o_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Benzene	ug/L	Benzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Butylbenzene, n-"	ug/L	Butylbenzene_n_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Butylbenzene, sec-"	ug/L	Butylbenzene_sec_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Butylbenzene, tert-"	ug/L	Butylbenzene_tert_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Caffeine	ug/L	Caffeine_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Ethylbenzene	ug/L	Ethylbenzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Isopropylbenzene	ug/L	Isopropylbenzene_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Isopropyltoluene, p-"	ug/L	Isopropyltoluene_p_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Methyl Tert-butyl Ether	ug/L	Methyl_TertbutylEther_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Propylbenzene, n-"	ug/L	Propylbenzene_n_ug_L	3	Organic	1	0	0	NA	NA	NA	NA	1	Inc
Total	Aldrin	ng/g dw	Aldrin_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Aldrin	ug/L	Aldrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordane, cis-"	ng/g dw	Chlordane_cis_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordane, cis-"	ug/L	Chlordane_cis_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordane, trans-"	ng/g dw	Chlordane_trans_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordane, trans-"	ug/L	Chlordane_trans_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordene, cis-"	ug/L	Chlordene_cis_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlordene, trans-"	ug/L	Chlordene_trans_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dieldrin	ng/g dw	Dieldrin_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dieldrin	ug/L	Dieldrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endosulfan I	ng/g dw	Endosulfan_I_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endosulfan I	ug/L	Endosulfan_I_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endosulfan II	ug/L	Endosulfan_II_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endosulfan Sulfate	ug/L	Endosulfan_Sulfate_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endrin Aldehyde	ug/L	Endrin_Aldehyde_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endrin Ketone	ug/L	Endrin_Ketone_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endrin	ng/g dw	Endrin_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Endrin	ug/L	Endrin_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, alpha-"	ng/g dw	HCH_alpha_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, alpha-"	ug/L	HCH_alpha_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, beta-"	ng/g dw	HCH_beta_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, beta-"	ug/L	HCH_beta_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, delta-"	ug/L	HCH_delta_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, gamma-"	ng/g dw	HCH_gamma_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	"HCH, gamma-"	ug/L	HCH_gamma_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Heptachlor Epoxide	ng/g dw	Heptachlor_Epoxide_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Heptachlor Epoxide	ug/L	Heptachlor_Epoxide_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Heptachlor	ng/g dw	Heptachlor_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Heptachlor	ug/L	Heptachlor_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Hexachlorobenzene	ng/g dw	Hexachlorobenzene_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Hexachlorobenzene	ug/L	Hexachlorobenzene_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Hexachlorobutadiene	ug/L	Hexachlorobutadiene_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Methoxychlor	ng/g dw	Methoxychlor_tot_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Methoxychlor	ug/L	Methoxychlor_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Oxychlordane	ng/g dw	Oxychlordane_ng_g_dw	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Oxychlordane	ug/L	Oxychlordane_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Tedion	ug/L	Tedion_ug_L	8	Organochlorine	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bromobenzene	ug/L	Bromobenzene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bromochloromethane	ug/L	Bromochloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bromodichloromethane	ug/L	Bromodichloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Bromoform	ug/L	Bromoform_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Carbon Tetrachloride	ug/L	Carbon_Tetrachloride_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chlorobenzene	ug/L	Chlorobenzene_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chloroform	ug/L	Chloroform_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlorotoluene, 2-"	ug/L	Chlorotoluene_2_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Chlorotoluene, 4-"	ug/L	Chlorotoluene_4_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dibromo-3-Chloropropane, 1,2-"	ug/L	Dibromo_3_chloropropane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dibromochloromethane	ug/L	Dibromochloromethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dibromoethane, 1,2-"	ug/L	Dibromoethane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	Dibromomethane	ug/L	Dibromomethane_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichlorobenzene, 1,2-"	ug/L	Dichlorobenzene_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichlorobenzene, 1,3-"	ug/L	Dichlorobenzene_13_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichlorobenzene, 1,4-"	ug/L	Dichlorobenzene_14_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloroethane, 1,1-"	ug/L	Dichloroethane_11_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
Total	"Dichloroethane, 1,2-"	ug/L	Dichloroethane_12_ug_L	9	Organohalide	1	0	0	NA	NA	NA	NA	1	Inc
