ANALYSIS_TYPE	CHEMICAL_NAME	FinalUnit	StdParamName	GroupNum	GroupName	LogTransf	SSD	SSTV	SensMin	SensMax	TolMin	TolMax	UseInStressorID	DirIncStress
Dissolved	Beryllium	ug/L	Beryllium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Beryllium	ug/L	Beryllium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Boron	mg/L	Boron_uf_mg_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Cadmium	ug/L	Cadmium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Cadmium	mg/kg dw	Cadmium_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Cadmium	ug/L	Cadmium_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Chromium	ug/L	Chromium_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Chromium	mg/kg dw	Chromium_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Chromium	ug/L	Chromium_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Dissolved	Cobalt	ug/L	Cobalt_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Silver	ug/L	Silver_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Strontium	ug/L	Strontium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Strontium	ug/L	Strontium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Thallium	ug/L	Thallium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Thallium	ug/L	Thallium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Tin	ug/L	Tin_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Tin	ug/L	Tin_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Titanium	ug/L	Titanium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Titanium	ug/L	Titanium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Vanadium	ug/L	Vanadium_f_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Vanadium	ug/L	Vanadium_uf_ug_L	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Dissolved	Zinc	ug/L	Zinc_f_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Silver	mg/kg dw	Silver_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Total	Zinc	ug/L	Zinc_uf_ug_L	6	Metals_metalloids	1	1	0	NA	NA	NA	NA	1	Inc
Total	Zinc	mg/kg dw	Zinc_tot_mg_kg_dw	6	Metals_metalloids	1	0	0	NA	NA	NA	NA	1	Inc
Particulate	Chlorophyll a	mg/m2	Chlor_a_particulate_mg_m2	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc
Particulate	Chlorophyll a	ug/L	Chlor_a_particulate_ug_L	7	Nutrients	1	0	0	NA	NA	NA	NA	1	Inc
