"","sort(unique(names(data_CoOccur_CA)))"
"715","Dicrotophos_uf_µg_L"
"716","DesmethylRR_Particulate_µg_L"
"717","Benzo.b.fluoranthene_uf_µg_L"
"718","Ciodrin_uf_µg_L"
"719","Benzo.a.pyrene_uf_µg_L"
"720","Aldrin_uf_µg_L"
"721","Cypermethrin_uf_µg_L"
"722","MicrocystinLR_Particulate_µg_L"
"723","Benzo.e.pyrene_uf_µg_L"
"724","Bifenthrin_uf_µg_L"
"725","EsfenvalerateFenvalerate_uf_µg_L"
"726","Cr_µg_g"
"727","Coumaphos_uf_µg_L"
"728","Butylbenzene_sec_uf_µg_L"
"729","Benzo.g.h.i.perylene_uf_µg_L"
"730","Biphenyl_uf_µg_L"
"731","Cu_µg_g"
"732","Cyhalothrin_lambda_uf_µg_L"
"733","Bromochloromethane_uf_µg_L"
"734","Bromobenzene_uf_µg_L"
"735","Cyfluthrin_uf_µg_L"
"736","MicrocystinLW_Particulate_µg_L"
"737","Demeton_s_uf_µg_L"
"738","Benzene_uf_µg_L"
"739","Chrysenes_C3_uf_µg_L"
