"STATION_CD"	"STATION_NAME"	"COMID"	"STATION_RID"	"HUC12"	"COUNTY_NAME"	"STATION_TYPE"	"LATITUDE"	"LONGITUDE"	"UTM_EAST"	"UTM_NORTH"	"UTM_ZONE"	"Elevation"	"ReferenceStatus"	"Year"
"UGSFR151.22"	100381	945040095	229	15040004	"APACHE"	"Stream"	33.832056	-109.109167	674969	3745143	"12N"	7960	NA	NA
"UGSFR153.55"	100384	945040095	231	15040004	"APACHE"	"Stream"	33.843667	-109.14175	671931	3746375	"12N"	NA	NA	NA
"UGSFR153.82"	101153	945040095	597	15040004	"APACHE"	"Stream"	33.8445	-109.146472	671492	3746460	"12N"	NA	NA	NA
"UGSFR154.45"	103253	945040095	1517	15040004	"APACHE"	"Stream"	33.851083	-109.151306	671032	3747182	"12N"	NA	NA	NA
"UGSFR156.46"	111453	21351645	61662	15040004	"APACHE"	"Stream"	33.865219	-109.180386	668313	3748702	"12N"	NA	NA	NA
"UGSTO003.44"	110302	21351635	2535	15040004	"APACHE"	"Stream"	33.86539	-109.06228	679239	3748920	"12N"	7745	NA	NA
"UGSTY000.05"	104107	21354853	1821	15040004	"GREENLEE"	"Stream"	33.483889	-109.205278	666745	3706374	"12N"	NA	NA	NA
"UGTKY000.05"	103294	21351649	1528	15040004	"APACHE"	"Stream"	33.860556	-109.167722	669494	3748205	"12N"	NA	NA	NA
"UGTKY000.54"	103295	21351649	1529	15040004	"APACHE"	"Stream"	33.866667	-109.166111	669631	3748886	"12N"	NA	NA	NA
"UGTRY000.18"	101180	21351805	603	15040004	"GREENLEE"	"Stream"	33.738167	-109.070694	678725	3734797	"12N"	NA	NA	NA
"UGTRY001.56"	106507	21351783	2156	15040004	"GREENLEE"	"Stream"	33.756139	-109.074722	678315	3736783	"12N"	6790	NA	NA
"UGUCA000.02"	110282	21309103	2532	15040006	"COCHISE"	"Stream"	31.87827	-109.22341	668042	3528319	"12N"	NA	NA	NA
"UGULS000.53"	110263	21354827	2531	15040004	"GREENLEE"	"Stream"	33.4963	-109.3175	656295	3707576	"12N"	NA	NA	NA
"VRALD007.86"	107002	20439248	2201	15060203	"MARICOPA"	"Stream"	33.903139	-111.510806	452774	3751534	"12N"	3842	NA	NA
"VRAMG000.76"	108723	20437116	2394	15060203	"GILA"	"Stream"	34.24375	-111.407806	462448	3789258	"12N"	NA	NA	NA
"VRAMG003.62"	108582	20437142	2377	15060203	"GILA"	"Stream"	34.234028	-111.370611	465869	3788167	"12N"	NA	NA	NA
"VRAMG003.83"	100712	20437142	396	15060203	"GILA"	"Stream"	34.234618	-111.36722	466181	3788231	"12N"	4760	NA	NA
"VRAPA000.03"	100189	20467340	104	15060201	"YAVAPAI"	"Stream"	34.920056	-112.845972	331378	3865733	"12N"	5232	NA	NA
"VRAPA001.11"	100714	20467340	398	15060201	"YAVAPAI"	"Stream"	34.913212	-112.862544	329850	3865002	"12N"	5240	NA	NA
"VRAPA002.31"	110633	20467340	2572	15060201	"YAVAPAI"	"Stream"	34.904225	-112.876939	328516	3864030	"12N"	5320	NA	NA
"VRAPA003.46"	100715	20467340	399	15060201	"YAVAPAI"	"Stream"	34.891935	-112.883768	327867	3862678	"12N"	5360	NA	NA
"VRAPA007.76"	100190	20467340	105	15060201	"YAVAPAI"	"Stream"	34.864389	-112.935167	323110	3859712	"12N"	6203	NA	NA
"VRASP000.03"	108623	20452690	2382	15060202	"YAVAPAI"	"Stream"	34.532139	-112.473639	364762	3822147	"12N"	NA	NA	NA
"VRASP000.37"	107545	20452690	2253	15060202	"YAVAPAI"	"Stream"	34.531511	-112.479394	364232	3822085	"12N"	NA	NA	NA
"VRASP000.93"	108622	20452690	2381	15060202	"YAVAPAI"	"Stream"	34.532556	-112.48825	363421	3822213	"12N"	NA	NA	NA
"VRASP001.61"	107546	20452690	2254	15060202	"YAVAPAI"	"Stream"	34.531639	-112.4995	362387	3822127	"12N"	NA	NA	NA
"VRASP002.70"	108604	20452690	2380	15060202	"YAVAPAI"	"Stream"	34.524167	-112.511361	361286	3821314	"12N"	NA	NA	NA
"VRASP004.39"	108602	20452112	2378	15060202	"YAVAPAI"	"Stream"	34.511278	-112.519972	360475	3819897	"12N"	NA	NA	NA
"VRASP005.07"	106183	20452112	2108	15060202	"YAVAPAI"	"Stream"	34.50225	-112.522028	360271	3818898	"12N"	6250	NA	NA
"VRASW001.64"	101596	20440076	855	15060203	"MARICOPA"	"Stream"	33.615	-111.704722	434628	3719692	"12N"	NA	NA	NA
"VRBAN000.06"	106186	20452096	2111	15060202	"YAVAPAI"	"Stream"	34.517138	-112.477055	364424	3820488	"12N"	5520	NA	NA
"VRBAN003.70"	107549	20455010	2257	15060202	"YAVAPAI"	"Stream"	34.490364	-112.441536	367642	3817472	"12N"	NA	NA	NA
"VRBEV000.04"	103809	20454258	1712	15060202	"YAVAPAI"	"Stream"	34.574444	-111.855278	421552	3826185	"12N"	NA	NA	NA
"VRBEV000.72"	100722	20454258	402	15060202	"YAVAPAI"	"Stream"	34.583056	-111.853083	421761	3827138	"12N"	3101	NA	NA
